Device ID,First Backup Status,First Backup Size,System Settings Backup,Time Taken,OS Platform,Device OS,User ID
2062079,Complete,2.40,Not Backed Up,0:00,Mac OS X,High Sierra,237743
2062065,Complete,70.57,Not Backed Up,0:28,Windows,Win 10,1648075
2061833,Complete,105.26,Not Backed Up,0:02,Windows,Win 10,240529
2058053,Complete,539.73,Not Backed Up,0:11,Windows,Win 10,1711943
2057998,Complete,164.39,Not Backed Up,0:10,Windows,Win 10,644874
2057948,Complete,177.05,Not Backed Up,0:37,Windows,Win 10,661047
2057476,Complete,4.34,Not Backed Up,0:00,Mac OS X,Catalina,1711439
2056301,Complete,122.43,Not Backed Up,0:02,Windows,Win 10,1711378
2056263,Complete,93.49,Not Backed Up,0:03,Windows,Win 10,1711362
2053477,Complete,53.84,Not Backed Up,1:07,Windows,Win 10,188513
2053420,Complete,119.20,Not Backed Up,0:06,Windows,Win 10,424540
2051309,Complete,22027.53,Not Backed Up,2:43,Mac OS X,Mojave,248160
2051222,Complete,137.87,Not Backed Up,2:13,Windows,Win 10,239044
2051180,Complete,114.20,Not Backed Up,0:01,Windows,Win 10,750576
2048606,Complete,1.64,Not Backed Up,0:05,Mac OS X,Sierra,1707124
2048406,Complete,95.20,Not Backed Up,0:03,Windows,Win 10,240960
2048342,Complete,62.60,Not Backed Up,0:55,Windows,Win 10,606743
2047691,Complete,59.16,Not Backed Up,0:00,Mac OS X,High Sierra,1706533
2047682,Complete,60.61,Not Backed Up,0:00,Mac OS X,Sierra,237230
2045722,Complete,3.10,Not Backed Up,0:00,Mac OS X,Mojave,615737
2045400,Complete,109.74,Not Backed Up,0:02,Windows,Win 10,1705129
2045339,Complete,105.60,Not Backed Up,0:01,Windows,Win 10,381744
2044716,Complete,261.79,Not Backed Up,0:06,Windows,Win 10,1689364
2044550,Complete,390.88,Not Backed Up,0:07,Windows,Win 10,1704592
2042697,Complete,2.26,Not Backed Up,0:00,Mac OS X,Mojave,1703640
2042696,Complete,308.85,Not Backed Up,0:28,Windows,Win 10,548281
2042271,Complete,2.28,Not Backed Up,0:00,Mac OS X,High Sierra,1703481
2042237,Complete,34.12,Not Backed Up,0:00,Mac OS X,Catalina,1703466
2042214,Complete,16.21,Not Backed Up,0:00,Mac OS X,High Sierra,1703460
2042210,Complete,119.73,Not Backed Up,0:02,Windows,Win 10,747785
2042093,Complete,2.25,Not Backed Up,0:00,Mac OS X,Mojave,1703323
2042049,Complete,91.93,Not Backed Up,0:03,Windows,Win 10,1703222
2042040,Complete,97.70,Not Backed Up,0:03,Windows,Win 10,1703212
2042032,Complete,85.38,Not Backed Up,0:02,Windows,Win 10,1703205
2036224,Complete,2.29,Not Backed Up,0:00,Mac OS X,Mojave,303439
2036103,Complete,110.93,Not Backed Up,0:05,Windows,Win 10,245641
2032520,Complete,92.88,Not Backed Up,0:02,Windows,Win 7,1698237
2029620,Complete,278.39,Not Backed Up,2:23,Windows,Win 10,475548
2029513,Complete,105.11,Not Backed Up,0:02,Windows,Win 10,747683
2029377,Complete,15.54,Not Backed Up,0:00,Mac OS X,Catalina,1696646
2028270,Complete,2645.24,Not Backed Up,4:04,Windows,Win 10,1696112
2027412,Complete,2.25,Not Backed Up,0:00,Mac OS X,Catalina,1695710
2027332,Complete,2.25,Not Backed Up,0:00,Mac OS X,High Sierra,1695681
2027299,Complete,264.66,Not Backed Up,0:07,Windows,Win 10,1687257
2027185,Complete,2.31,Not Backed Up,0:00,Mac OS X,Mojave,1695575
2026973,Complete,1293.60,Not Backed Up,3:09,Windows,Win 10,1436963
2026945,Complete,39.71,Not Backed Up,0:04,Windows,Win 10,197404
2026858,Complete,65.06,Not Backed Up,0:23,Windows,Win 10,1695432
2026560,Complete,52.05,Not Backed Up,0:29,Windows,Win 10,1695275
2024935,Complete,188.33,Not Backed Up,0:04,Windows,Win 10,720230
2024696,Complete,2037.25,Not Backed Up,8:16,Windows,Win 10,1693744
2022546,Complete,22.85,Not Backed Up,0:00,Mac OS X,Mojave,1692589
2022322,Complete,253.51,Not Backed Up,0:02,Windows,Win 10,245344
2021827,Complete,171.53,Not Backed Up,0:03,Windows,Win 10,1689364
2020385,Complete,563.36,Not Backed Up,0:04,Windows,Win 10,980861
2020220,Complete,93.44,Not Backed Up,0:02,Windows,Win 10,237650
2019898,Complete,1547.30,Not Backed Up,0:42,Windows,Win 10,747850
2019795,Complete,488.22,Not Backed Up,0:09,Windows,Win 10,1690799
2018003,Complete,7937.97,Not Backed Up,0:08,Mac OS X,Mojave,350311
2017652,Complete,223.39,Not Backed Up,0:02,Mac OS X,Catalina,1689364
2017363,Complete,115.44,Not Backed Up,0:13,Windows,Win 7,1310854
2014766,Complete,65.81,Not Backed Up,0:00,Mac OS X,Catalina,615711
2014682,Complete,95.80,Not Backed Up,0:01,Windows,Win 10,1685388
2011892,Complete,95.22,Not Backed Up,0:01,Windows,Win 10,1632338
2011709,Complete,142.00,Not Backed Up,0:02,Windows,Win 10,1523327
2011507,Complete,2.37,Not Backed Up,0:00,Mac OS X,Mojave,1685446
2011459,Complete,2.25,Not Backed Up,0:00,Mac OS X,Catalina,1685433
2011359,Complete,152.10,Not Backed Up,0:05,Windows,Win 10,1685384
2011358,Complete,89.94,Not Backed Up,0:02,Windows,Win 10,1685383
2011352,Complete,147.96,Not Backed Up,0:05,Windows,Win 10,1685381
2011350,Complete,148.29,Not Backed Up,0:05,Windows,Win 10,1685379
2011349,Complete,158.05,Not Backed Up,0:05,Windows,Win 10,1685378
2008954,Complete,1458.54,Not Backed Up,0:34,Mac OS X,Mojave,245227
2008471,Complete,120.78,Not Backed Up,0:05,Windows,Win 10,315355
2007214,Complete,275.09,Not Backed Up,0:07,Windows,Win 7,1523326
2006428,Complete,9741.43,Not Backed Up,4:18,Windows,Win 10,162381
2006240,Complete,208.80,Not Backed Up,0:08,Windows,Win 7,1642333
2003115,Complete,54.56,Not Backed Up,2:13,Windows,Win 10,237738
